TargetGroup,ReferenceRva,Consumers,Mechanism,Overlap,MigrationPriority,Notes
GatehouseDistanceOrigin,0xB73D0 function|[0xB7B70;0xB7BBB),BugfixesAndQoL,FixedHashByteTransaction,Exclusive 75-byte interval on the shared 4 KiB page,DoneInAPI,Full function hash and exact vanilla/center bytes; explicit bidirectional switching; no AOB fallback; intended future consumer only
GatehouseTiming,0xB73D0 function|0xB7BC3|0xB7BCA|0xB7BD3|0xB7C35,ExtraFeatures,FixedHashImmediateTransaction,Four exclusive immediate intervals on the shared 4 KiB page,DoneInAPI,Full function hash and exact opcodes; independent of distance origin; no AOB fallback; intended future consumer only
SelectedUnitCommand,SHCDESE OnTribeIssueOrderWithTarget Pre event,BugfixesAndQoL,ManagedEventBroker,No API-owned native target,DoneInAPI,Script Extender owns the native detour; APITest is the V1 consumer
AssassinPathfinding,local catalog,BugfixesAndQoL|AssassinCombatFix,NativeDetour|DataPatch,Related Assassin behavior,High,Audit both mods before centralizing
HunterQuery,local catalog,ImprovedHunters|HunterQueryTargetDiagnostic,NativeDetour|Observer,Shared native query path,High,Prefer one broker with observer callbacks
GatePathfinding,local catalog,EnemyGatePathfindingTest|ExtraFeatures,NativeDetour|PatternResolution,Gate behavior family,Medium,Keep semantic capabilities separate
MoatCommands,local catalog,MoveMoatTest|BugfixesAndQoL,NativeDetour|PatternResolution,Command processing family,Medium,Confirm exact target equality first
AiEconomy,local catalog,ExtraFeatures|BugfixesAndQoL,NativeDetour|PatternResolution,Several adjacent targets,Medium,Group only identical entrypoints
ExtremePowers,local catalog,ExtremePowers,NativeDetour|DataPatch,Single consumer,Low,Migrate after shared targets
RandomEvents,local catalog,RandomEvents,DataPatch|NativeCalls,Single consumer,Low,Preserve persistent tick lifecycle
TroopMovement,local catalog,BugfixesAndQoL|ExtraFeatures,NativeDetour|Integration,Existing cross-mod bridge,High,Strong candidate for typed broker
